empire;Empire0029;121;397
kingdom;Kingdom0014;75;453
duchy;Duchy0004;50;541
county;Province0001;31;527
barony;Barony0001a;31;527
barony;Barony0001b;31;527
barony;Barony0001c;31;527
barony;Barony0001d;31;527
barony;Barony0001e;31;527
barony;Barony0001f;31;527
barony;Barony0001g;31;527
county;Province0004;50;541
barony;Barony0004a;50;541
barony;Barony0004b;50;541
barony;Barony0004c;50;541
barony;Barony0004d;50;541
barony;Barony0004e;50;541
barony;Barony0004f;50;541
barony;Barony0004g;50;541
duchy;Duchy0007;56;477
county;Province0002;35;475
barony;Barony0002a;35;475
barony;Barony0002b;35;475
barony;Barony0002c;35;475
barony;Barony0002d;35;475
barony;Barony0002e;35;475
barony;Barony0002f;35;475
barony;Barony0002g;35;475
county;Province0011;72;489
barony;Barony0011a;72;489
barony;Barony0011b;72;489
barony;Barony0011c;72;489
barony;Barony0011d;72;489
barony;Barony0011e;72;489
barony;Barony0011f;72;489
barony;Barony0011g;72;489
county;Province0007;56;477
barony;Barony0007a;56;477
barony;Barony0007b;56;477
barony;Barony0007c;56;477
barony;Barony0007d;56;477
barony;Barony0007e;56;477
barony;Barony0007f;56;477
barony;Barony0007g;56;477
duchy;Duchy0024;104;524
county;Province0017;82;526
barony;Barony0017a;82;526
barony;Barony0017b;82;526
barony;Barony0017c;82;526
barony;Barony0017d;82;526
barony;Barony0017e;82;526
barony;Barony0017f;82;526
barony;Barony0017g;82;526
county;Province0021;96;544
barony;Barony0021a;96;544
barony;Barony0021b;96;544
barony;Barony0021c;96;544
barony;Barony0021d;96;544
barony;Barony0021e;96;544
barony;Barony0021f;96;544
barony;Barony0021g;96;544
county;Province0028;115;491
barony;Barony0028a;115;491
barony;Barony0028b;115;491
barony;Barony0028c;115;491
barony;Barony0028d;115;491
barony;Barony0028e;115;491
barony;Barony0028f;115;491
barony;Barony0028g;115;491
county;Province0024;104;524
barony;Barony0024a;104;524
barony;Barony0024b;104;524
barony;Barony0024c;104;524
barony;Barony0024d;104;524
barony;Barony0024e;104;524
barony;Barony0024f;104;524
barony;Barony0024g;104;524
duchy;Duchy0014;75;453
county;Province0009;62;436
barony;Barony0009a;62;436
barony;Barony0009b;62;436
barony;Barony0009c;62;436
barony;Barony0009d;62;436
barony;Barony0009e;62;436
barony;Barony0009f;62;436
barony;Barony0009g;62;436
county;Province0019;95;449
barony;Barony0019a;95;449
barony;Barony0019b;95;449
barony;Barony0019c;95;449
barony;Barony0019d;95;449
barony;Barony0019e;95;449
barony;Barony0019f;95;449
barony;Barony0019g;95;449
county;Province0014;75;453
barony;Barony0014a;75;453
barony;Barony0014b;75;453
barony;Barony0014c;75;453
barony;Barony0014d;75;453
barony;Barony0014e;75;453
barony;Barony0014f;75;453
barony;Barony0014g;75;453
kingdom;Kingdom0032;124;613
duchy;Duchy0005;50;583
county;Province0003;39;601
barony;Barony0003a;39;601
barony;Barony0003b;39;601
barony;Barony0003c;39;601
barony;Barony0003d;39;601
barony;Barony0003e;39;601
barony;Barony0003f;39;601
barony;Barony0003g;39;601
county;Province0008;59;613
barony;Barony0008a;59;613
barony;Barony0008b;59;613
barony;Barony0008c;59;613
barony;Barony0008d;59;613
barony;Barony0008e;59;613
barony;Barony0008f;59;613
barony;Barony0008g;59;613
county;Province0015;75;588
barony;Barony0015a;75;588
barony;Barony0015b;75;588
barony;Barony0015c;75;588
barony;Barony0015d;75;588
barony;Barony0015e;75;588
barony;Barony0015f;75;588
barony;Barony0015g;75;588
county;Province0005;50;583
barony;Barony0005a;50;583
barony;Barony0005b;50;583
barony;Barony0005c;50;583
barony;Barony0005d;50;583
barony;Barony0005e;50;583
barony;Barony0005f;50;583
barony;Barony0005g;50;583
duchy;Duchy0013;73;666
county;Province0006;50;666
barony;Barony0006a;50;666
barony;Barony0006b;50;666
barony;Barony0006c;50;666
barony;Barony0006d;50;666
barony;Barony0006e;50;666
barony;Barony0006f;50;666
barony;Barony0006g;50;666
county;Province0010;69;689
barony;Barony0010a;69;689
barony;Barony0010b;69;689
barony;Barony0010c;69;689
barony;Barony0010d;69;689
barony;Barony0010e;69;689
barony;Barony0010f;69;689
barony;Barony0010g;69;689
county;Province0013;73;666
barony;Barony0013a;73;666
barony;Barony0013b;73;666
barony;Barony0013c;73;666
barony;Barony0013d;73;666
barony;Barony0013e;73;666
barony;Barony0013f;73;666
barony;Barony0013g;73;666
duchy;Duchy0018;91;652
county;Province0012;72;644
barony;Barony0012a;72;644
barony;Barony0012b;72;644
barony;Barony0012c;72;644
barony;Barony0012d;72;644
barony;Barony0012e;72;644
barony;Barony0012f;72;644
barony;Barony0012g;72;644
county;Province0020;95;673
barony;Barony0020a;95;673
barony;Barony0020b;95;673
barony;Barony0020c;95;673
barony;Barony0020d;95;673
barony;Barony0020e;95;673
barony;Barony0020f;95;673
barony;Barony0020g;95;673
county;Province0018;91;652
barony;Barony0018a;91;652
barony;Barony0018b;91;652
barony;Barony0018c;91;652
barony;Barony0018d;91;652
barony;Barony0018e;91;652
barony;Barony0018f;91;652
barony;Barony0018g;91;652
duchy;Duchy0031;122;749
county;Province0025;105;733
barony;Barony0025a;105;733
barony;Barony0025b;105;733
barony;Barony0025c;105;733
barony;Barony0025d;105;733
barony;Barony0025e;105;733
barony;Barony0025f;105;733
barony;Barony0025g;105;733
county;Province0037;139;731
barony;Barony0037a;139;731
barony;Barony0037b;139;731
barony;Barony0037c;139;731
barony;Barony0037d;139;731
barony;Barony0037e;139;731
barony;Barony0037f;139;731
barony;Barony0037g;139;731
county;Province0031;122;749
barony;Barony0031a;122;749
barony;Barony0031b;122;749
barony;Barony0031c;122;749
barony;Barony0031d;122;749
barony;Barony0031e;122;749
barony;Barony0031f;122;749
barony;Barony0031g;122;749
